City,Year,Shell,Volume,Mileage,Transmission,Rudder,Gear,CustomsCleared,Type Engine,Company,Model,Price
Костанай,2018,кроссовер,2.0,54000,автомат,слева,полный привод,Да,бензин,Volkswagen,Tiguan,14600000
Темиртау,2004,седан,1.6,143000,механика,слева,задний привод,Да,бензин,ВАЗ (Lada),2107,1300000
Алматы,2013,кроссовер,2.4,93500,автомат,слева,полный привод,Да,бензин,Kia,Sorento,8600000
Павлодар,1996,внедорожник,2.7,272727,автомат,справа,полный привод,Да,бензин,Toyota,Hilux Surf,3600000
Караганда,2005,кроссовер,3.3,218000,автомат,слева,полный привод,Да,бензин,Lexus,RX 330,7500000
Жезказган,1999,внедорожник,2.5,281,автомат,слева,полный привод,Да,бензин,Suzuki,Grand Vitara,3100000
Шымкент,2008,хэтчбек,1.6,177000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2114 (хэтчбек),950000
Алматы,2007,седан,2.4,161000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,5550000
Павлодар,2005,внедорожник,4.0,94000,автомат,справа,полный привод,Да,бензин,Toyota,Land Cruiser Prado,9999999
Нур-Султан (Астана),2014,кроссовер,2.0,170000,вариатор,справа,полный привод,Да,бензин,Nissan,X-Trail,7300000
Нур-Султан (Астана),1989,седан,5.0,73000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,E 500,4500000
Алматы,1988,седан,2.2,300000,механика,слева,передний привод,Да,бензин,Audi,100,1000000
Алматы,1996,внедорожник,2.7,180000,автомат,справа,полный привод,Да,дизель,Nissan,Mistral,2850000
Алматы,2013,кроссовер,3.5,67000,типтроник,слева,полный привод,Да,бензин,Toyota,Highlander,14899999
Шымкент,2003,седан,2.4,318000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,4500000
Алматы,2008,кроссовер,3.5,165000,автомат,слева,полный привод,Да,бензин,Mercedes-Benz,ML 350,6500000
Уральск,2013,седан,1.6,86000,автомат,слева,передний привод,Нет,бензин,Mazda,3,3250000
Алматы,2010,внедорожник,5.0,120000,автомат,слева,полный привод,Да,бензин,Rover,Land Range  Sport,9700000
Костанай,2009,хэтчбек,1.5,133000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2172 (хэтчбек),1230000
Уральск,2019,кроссовер,2.4,10000,автомат,слева,полный привод,Да,бензин,Kia,Sportage,10300000
Алматы,2014,седан,1.6,100,типтроник,слева,передний привод,Да,бензин,Volkswagen,Jetta,5000000
Костанай,2005,внедорожник,4.7,245000,автомат,слева,полный привод,Да,газ-бензин,Lexus,GX 470,8200000
Алматы,2009,хэтчбек,1.7,130,механика,слева,полный привод,Да,бензин,ВАЗ (Lada),2123,1600000
Алматы,1994,седан,2.0,260000,автомат,слева,задний привод,Да,бензин,BMW,320,1500000
Алматы,2018,минивэн,2.1,84000,автомат,слева,задний привод,Да,дизель,Mercedes-Benz,V 250,30500000
Уральск,2016,седан,1.6,120000,механика,слева,передний привод,Да,бензин,Renault,Logan,3590000
Нур-Султан (Астана),2008,микроавтобус,3.0,250000,механика,слева,задний привод,Да,дизель,Mercedes-Benz,Sprinter,3300000
Арысь,2009,хэтчбек,1.5,140000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2114 (хэтчбек),900000
Алматы,2009,кроссовер,2.0,101000,автомат,слева,полный привод,Да,бензин,Volkswagen,Tiguan,5600000
Нур-Султан (Астана),2008,седан,2.0,167000,автомат,слева,передний привод,Да,газ,Hyundai,Sonata,3600000
Нур-Султан (Астана),2013,кроссовер,1.6,90600,типтроник,слева,передний привод,Да,бензин,Nissan,Qashqai,5800000
Алматы,2007,внедорожник,2.7,190000,автомат,слева,полный привод,Да,газ-бензин,Hyundai,Santa Fe,5400000
Алматы,2012,седан,2.4,172000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,8500000
Костанай,2012,кроссовер,2.4,171098,автомат,слева,полный привод,Да,бензин,Kia,Sorento,8000000
Нур-Султан (Астана),2010,внедорожник,5.0,128000,автомат,слева,полный привод,Да,бензин,Rover,Land Range  Sport,9700000
Алматы,2020,седан,1.5,4000,автомат,слева,передний привод,Да,бензин,BMW,218,14999999
Шымкент,2018,седан,2.5,27758,автомат,слева,передний привод,Да,бензин,Toyota,Camry,11000000
Нур-Султан (Астана),1991,седан,2.0,360000,механика,слева,передний привод,Да,бензин,Nissan,Primera,1200000
Алматы,2006,седан,1.6,200500,механика,слева,передний привод,Нет,бензин,Daewoo,Nexia,850000
Нур-Султан (Астана),1992,универсал,1.8,400000,механика,слева,передний привод,Да,газ-бензин,Volkswagen,Passat CC,1000000
Нур-Султан (Астана),1999,минивэн,2.8,185000,механика,слева,передний привод,Да,газ-бензин,Mercedes-Benz,Vito,3850000
Алматы,2003,кроссовер,2.5,285000,автомат,слева,полный привод,Да,бензин,Subaru,Forester,3900000
Нур-Султан (Астана),2007,седан,2.4,320000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,5000000
Нур-Султан (Астана),2013,универсал,2.5,107000,вариатор,слева,полный привод,Да,бензин,Subaru,Outback,8700000
Актобе,1995,внедорожник,3.0,290000,автомат,справа,полный привод,Да,газ-бензин,Toyota,Hilux Surf,1200000
Кокшетау,2014,седан,1.6,103000,механика,слева,передний привод,Да,бензин,Chevrolet,Aveo,3200000
Алматы,2016,седан,1.4,90000,автомат,слева,передний привод,Да,бензин,Volkswagen,Polo,5200000
Нур-Султан (Астана),2016,кроссовер,2.0,50000,автомат,слева,полный привод,Да,бензин,Nissan,Terrano,6300000
Атырау,2011,хэтчбек,1.6,300,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2114 (хэтчбек),1500000
Семей,2011,кроссовер,3.5,90000,типтроник,слева,полный привод,Да,газ-бензин,Nissan,Murano,7500000
Костанай,2012,седан,1.6,250000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2170 (седан),2000000
Караганда,1996,седан,2.0,315000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,C 200,2000000
Шымкент,2013,внедорожник,4.5,130000,типтроник,слева,полный привод,Да,дизель,Toyota,Land Cruiser,19500000
Алматы,2011,седан,1.4,107000,автомат,слева,передний привод,Да,бензин,Hyundai,Solaris,3750000
Алматы,2014,седан,1.6,120000,механика,слева,передний привод,Да,бензин,Hyundai,Accent,3890000
Алматы,2013,седан,3.5,125000,автомат,слева,задний привод,Да,бензин,Lexus,RC 350,11890000
Алматы,2018,седан,2.0,48500,автомат,слева,передний привод,Да,бензин,Kia,Optima,9690000
Алматы,2018,кроссовер,2.0,66500,вариатор,слева,передний привод,Да,бензин,Lifan,X70,4990000
Алматы,2012,кроссовер,1.6,119000,вариатор,слева,передний привод,Да,бензин,Nissan,Juke,4600000
Петропавловск,1991,седан,2.6,4000000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,E 260,1400000
Актау,2015,седан,1.6,95000,автомат,слева,передний привод,Да,газ-бензин,Hyundai,Accent,4400000
Караганда,2014,минивэн,1.6,209000,механика,слева,передний привод,Да,газ-бензин,Volkswagen,Caddy,4700000
Семей,2014,универсал,1.6,120000,механика,слева,передний привод,Да,газ-бензин,ВАЗ (Lada),2171 (универсал),2800000
Алматы,2020,пикап,2.0,3000,механика,слева,полный привод,Да,бензин,JAC,T6,10700000
Уральск,2008,седан,1.6,159000,механика,слева,передний привод,Нет,газ-бензин,Skoda,Octavia,1570000
Усть-Каменогорск,1994,внедорожник,2.7,219000,автомат,справа,полный привод,Да,дизель,Nissan,Terrano,2800000
Тараз,2006,седан,3.0,219708,автомат,слева,полный привод,Да,бензин,Mercedes-Benz,E 280,4500000
Алматы,2013,седан,1.8,220000,типтроник,слева,передний привод,Да,бензин,Geely,Emgrand EC7,2600000
Туркестан,2011,седан,1.6,241000,механика,слева,передний привод,Нет,бензин,Daewoo,Nexia,900000
Нур-Султан (Астана),2014,седан,1.6,130000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2170 (седан),2739322
Актобе,2007,хэтчбек,1.6,73000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2112 (хэтчбек),800000
Уральск,2005,седан,1.5,50000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2115 (седан),950000
Уральск,2011,седан,1.6,70000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2115 (седан),1200000
Алматы,1996,внедорожник,3.0,350,автомат,справа,полный привод,Да,бензин,Mitsubishi,Pajero,3900000
Нур-Султан (Астана),2018,седан,1.6,17800,автомат,слева,передний привод,Да,бензин,Hyundai,Accent,6250000
Нур-Султан (Астана),2014,внедорожник,5.6,125000,типтроник,слева,полный привод,Да,бензин,Nissan,Patrol,15000000
Актобе,1995,внедорожник,2.8,270000,автомат,справа,полный привод,Да,дизель,Mitsubishi,Pajero,2750000
Атырау,2015,лифтбек,1.6,81000,механика,слева,передний привод,Да,бензин,Skoda,Octavia,5500000
Алматы,2009,лифтбек,3.0,125000,автомат,слева,задний привод,Да,бензин,BMW,5-Series Gran Turismo,10000000
Нур-Султан (Астана),2013,внедорожник,3.5,116000,автомат,слева,полный привод,Да,бензин,Honda,Pilot,13500000
Актобе,2019,внедорожник,2.7,81000,механика,слева,полный привод,Нет,бензин,Toyota,Land Cruiser Prado,19000000
Алматы,2013,седан,2.5,190000,автомат,слева,передний привод,Нет,бензин,Toyota,Camry,5300000
Уральск,2000,универсал,5.3,71000,типтроник,слева,полный привод,Нет,бензин,Chevrolet,Suburban,6700000
Жезказган,2008,кроссовер,3.0,150000,типтроник,слева,полный привод,Да,бензин,BMW,X6,8600000
Нур-Султан (Астана),2008,внедорожник,4.0,165000,типтроник,слева,полный привод,Да,бензин,Toyota,Land Cruiser,14500000
Петропавловск,2005,седан,3.0,204000,автомат,слева,передний привод,Нет,бензин,Toyota,Camry,3700000
Нур-Султан (Астана),1991,седан,1.4,370000,механика,слева,передний привод,Да,бензин,Nissan,Sunny,1000000
Атырау,2014,хэтчбек,1.2,60000,автомат,слева,передний привод,Да,бензин,Kia,Picanto,3750000
Алматы,1994,седан,2.8,263000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,E 280,2500000
Усть-Каменогорск,2012,кроссовер,2.4,104000,автомат,слева,полный привод,Да,бензин,Hyundai,Tucson,6700000
Нур-Султан (Астана),2015,кроссовер,2.0,202000,автомат,слева,полный привод,Да,бензин,Renault,Duster,4200000
Шымкент,2014,универсал,1.6,155000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2171 (универсал),2350000
Нур-Султан (Астана),1994,минивэн,2.2,380000,автомат,справа,полный привод,Да,дизель,Toyota,Estima Lucida,1500000
Атырау,2010,седан,3.0,175000,типтроник,слева,задний привод,Да,бензин,BMW,535,9200000
Алматы,2014,седан,1.6,380,механика,слева,передний привод,Да,бензин,Hyundai,Accent,3800000
Кокшетау,2011,кроссовер,2.4,180000,вариатор,слева,полный привод,Да,бензин,Peugeot,4007,4500000
Нур-Султан (Астана),2015,седан,2.5,67437,автомат,слева,передний привод,Да,бензин,Toyota,Camry,10000000
Алматы,2007,седан,6.0,97000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,S 600,8300000
Нур-Султан (Астана),2014,кроссовер,2.0,167000,автомат,слева,передний привод,Да,бензин,Renault,Duster,4800000
Жанаозен,2015,седан,1.4,96700,типтроник,слева,передний привод,Да,бензин,Skoda,Rapid,4200000
Актау,2015,внедорожник,4.6,78000,автомат,слева,полный привод,Да,газ-бензин,Toyota,Land Cruiser,28000000
Алматы,2015,седан,2.5,100743,автомат,слева,передний привод,Да,бензин,Toyota,Camry,9000000
Алматы,2014,седан,2.5,96000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,8800000
Нур-Султан (Астана),2007,хэтчбек,1.6,100,механика,слева,передний привод,Нет,бензин,Toyota,Auris,2000000
Шымкент,2014,кроссовер,3.5,108000,типтроник,слева,полный привод,Да,бензин,Toyota,Highlander,15300000
Атырау,2012,седан,1.6,95000,механика,слева,передний привод,Нет,бензин,Ford,Focus,2800000
Алматы,1991,фургон,1.9,222,механика,слева,передний привод,Да,дизель,Volkswagen,Transporter,1800000
Шымкент,1985,седан,1.8,3721545,механика,слева,передний привод,Да,бензин,Audi,100,1000000
Нур-Султан (Астана),2019,внедорожник,4.6,24500,автомат,слева,полный привод,Да,бензин,Toyota,Land Cruiser,34000000
Атырау,2007,кроссовер,3.5,160,автомат,слева,полный привод,Да,газ-бензин,Lexus,RX 350,8500000
Атырау,2019,седан,1.6,21000,механика,слева,передний привод,Нет,газ-бензин,ВАЗ (Lada),Vesta,2800000
Нур-Султан (Астана),2007,седан,2.4,379,автомат,слева,передний привод,Да,бензин,Toyota,Camry,5200000
Нур-Султан (Астана),2017,седан,2.0,88000,типтроник,слева,передний привод,Да,бензин,Toyota,Camry,10100000
Алматы,2019,седан,2.5,40000,типтроник,слева,передний привод,Да,бензин,Toyota,Camry,13700000
Нур-Султан (Астана),2014,седан,1.6,190000,механика,слева,передний привод,Да,газ-бензин,Nissan,Almera,3000000
Атырау,2006,купе,1.3,60000,механика,слева,задний привод,Да,бензин,Mazda,RX8,3500000
Семей,2013,седан,1.6,129000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2170 (седан),1900000
Караганда,2000,седан,3.0,197000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,3000000
Нур-Султан (Астана),1993,седан,2.0,1352880,механика,слева,передний привод,Нет,бензин,Toyota,Carina E,500000
Уральск,2018,седан,1.6,106000,автомат,слева,передний привод,Нет,бензин,Nissan,Almera,2900000
Нур-Султан (Астана),1997,минивэн,2.4,70000,автомат,справа,задний привод,Да,бензин,Toyota,Estima Lucida,2600000
Шымкент,2012,внедорожник,5.7,247838,типтроник,слева,полный привод,Да,газ-бензин,Toyota,Sequoia,17800000
Шымкент,2013,седан,1.5,300,механика,слева,передний привод,Да,бензин,Daewoo,Nexia,1500000
Петропавловск,2006,седан,2.4,232000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,5600000
Костанай,2006,седан,3.2,80000,автомат,слева,полный привод,Нет,бензин,Audi,A6,2550000
Нур-Султан (Астана),1997,седан,1.8,224000,механика,слева,задний привод,Да,бензин,Mercedes-Benz,C 180,1850000
Нур-Султан (Астана),2010,микровэн,2.5,240000,типтроник,слева,задний привод,Да,дизель,Hyundai,Starex,6500000
Усть-Каменогорск,1998,кроссовер,2.0,348000,механика,слева,полный привод,Да,бензин,Honda,CR-V,4000000
Усть-Каменогорск,2005,универсал,2.0,195000,автомат,справа,полный привод,Нет,бензин,Subaru,Forester,2550000
Кокшетау,2018,универсал,1.6,90000,механика,слева,передний привод,Да,газ-бензин,ВАЗ (Lada),Largus Cross,4750000
Кокшетау,2013,хэтчбек,1.6,100000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2114 (хэтчбек),1600000
Шымкент,2017,седан,1.5,43000,типтроник,слева,передний привод,Да,бензин,Chevrolet,Malibu,7800000
Кокшетау,2012,внедорожник,5.7,143000,автомат,слева,полный привод,Да,бензин,Lexus,LX 570,22999999
Алматы,2018,кроссовер,2.0,36000,автомат,слева,полный привод,Да,бензин,Mazda,CX-5,12500000
Атырау,2010,седан,2.0,169000,автомат,слева,задний привод,Нет,бензин,Mercedes-Benz,E 200,3700000
Тараз,2016,кроссовер,1.6,61000,автомат,слева,передний привод,Да,бензин,Renault,Sandero Stepway,4950000
Алматы,2016,седан,1.6,47000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2190 (седан),2900000
Нур-Султан (Астана),2014,внедорожник,2.7,150000,автомат,слева,полный привод,Да,бензин,Toyota,Land Cruiser Prado,14500000
Боралдай,1987,универсал,1.5,393940,механика,слева,полный привод,Да,бензин,Toyota,Tercel,550000
Актобе,2005,кроссовер,3.3,230,автомат,слева,передний привод,Да,газ-бензин,Lexus,RX 330,5200000
Шымкент,1989,седан,2.5,5552558,механика,слева,задний привод,Да,газ-бензин,BMW,525,1300000
Балхаш,2011,седан,1.4,148000,механика,слева,передний привод,Да,бензин,Hyundai,Accent,3400000
Нур-Султан (Астана),2014,кроссовер,2.0,116000,автомат,слева,полный привод,Да,бензин,Nissan,X-Trail,7000000
Павлодар,2014,седан,2.0,80000,робот,слева,полный привод,Да,бензин,Mercedes-Benz,CLA 250,10500000
Нур-Султан (Астана),2006,хэтчбек,1.0,202000,автомат,слева,передний привод,Нет,бензин,Opel,Corsa,1450000
Нур-Султан (Астана),2015,минивэн,1.6,250000,механика,слева,передний привод,Да,газ-бензин,ВАЗ (Lada),Largus,3500000
Кокшетау,2014,седан,1.4,125000,автомат,слева,передний привод,Да,бензин,Hyundai,Accent,4300000
Актау,2011,седан,3.5,129000,типтроник,слева,передний привод,Да,бензин,Lexus,ES 350,8400000
Кокшетау,2007,внедорожник,4.7,240000,автомат,слева,полный привод,Да,газ-бензин,Toyota,Land Cruiser,10300000
Шымкент,2013,хэтчбек,1.6,125000,типтроник,слева,передний привод,Да,бензин,Kia,Cee’d,5700000
Алматы,2001,внедорожник,2.7,300000,автомат,справа,полный привод,Да,бензин,Toyota,Hilux Surf,4200000
Алматы,2019,седан,1.6,14500,вариатор,слева,передний привод,Да,бензин,Toyota,Corolla,9500000
Кокшетау,2006,хэтчбек,1.5,115000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2114 (хэтчбек),1100000
Алматы,2018,минивэн,3.6,53127,автомат,слева,полный привод,Да,бензин,Dodge,Caravan,17500000
Алматы,2014,внедорожник,3.0,113000,автомат,слева,полный привод,Да,бензин,Rover,Land Discovery,16900000
Актобе,2007,кроссовер,3.5,270000,автомат,слева,полный привод,Нет,бензин,Toyota,Highlander,5600000
Алматы,2018,кроссовер,2.0,29300,автомат,слева,полный привод,Да,бензин,Kia,Sportage,9700000
Алматы,2009,седан,3.0,230000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,E 300,7700000
Нур-Султан (Астана),2005,седан,2.5,295000,автомат,слева,полный привод,Да,бензин,Subaru,Legacy,3600000
Алматы,2005,седан,2.4,240000,автомат,слева,передний привод,Да,газ-бензин,Toyota,Camry,4300000
Уральск,2007,внедорожник,5.4,192000,автомат,слева,полный привод,Да,бензин,Lincoln,Navigator,7000000
Алматы,2011,купе,6.0,26000,типтроник,слева,полный привод,Да,бензин,Bentley,Continental GT,34000000
Петропавловск,2008,хэтчбек,1.6,202000,механика,слева,передний привод,Нет,газ-бензин,ВАЗ (Lada),2114 (хэтчбек),930000
Нур-Султан (Астана),2014,кроссовер,2.0,97853,автомат,слева,полный привод,Да,бензин,Hyundai,Tucson,7800000
Караганда,1995,фургон,2.2,550000,механика,слева,задний привод,Да,дизель,Mazda,Bongo,1400000
Алматы,2015,купе,4.7,37000,автомат,слева,полный привод,Да,бензин,Mercedes-Benz,S 500,40000000
Шымкент,2018,седан,2.0,56000,автомат,слева,передний привод,Да,бензин,Renault Samsung,SM7,7750000
Рудный,2020,лифтбек,1.6,1800,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2191 (лифтбек),2650000
Алматы,2005,кроссовер,4.4,200,типтроник,слева,полный привод,Да,бензин,Rover,Land Range ,4500000
Караганда,2011,минивэн,2.4,221500,автомат,слева,задний привод,Да,бензин,Hyundai,H-1,6970000
Нур-Султан (Астана),1985,седан,2.3,300000,механика,слева,передний привод,Да,бензин,Audi,100,500000
Кокшетау,2009,внедорожник,3.5,140000,автомат,слева,полный привод,Да,бензин,Honda,Pilot,8000000
Караганда,2008,кроссовер,3.0,130000,типтроник,слева,полный привод,Да,дизель,BMW,X5,8690000
Уральск,2013,седан,1.6,144000,автомат,слева,передний привод,Да,бензин,Kia,Cerato,4600000
Алматы,2013,седан,1.8,142000,автомат,слева,передний привод,Да,бензин,Volkswagen,Passat,5390000
Алматы,2014,седан,2.0,85000,автомат,слева,передний привод,Да,бензин,Audi,A6,9650000
Павлодар,2011,хэтчбек,1.6,185000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2114 (хэтчбек),690000
Нур-Султан (Астана),2020,кроссовер,2.0,10000,автомат,слева,полный привод,Да,бензин,Hyundai,Tucson,12500000
Алматы,2020,седан,2.0,400,автомат,слева,передний привод,Да,бензин,Kia,K5,11400000
Актобе,2019,кроссовер,1.6,2900,вариатор,слева,передний привод,Да,бензин,Renault,Kaptur,7500000
Шымкент,2015,кроссовер,2.4,90000,автомат,слева,полный привод,Да,бензин,Kia,Sportage,8000000
Нур-Султан (Астана),2008,внедорожник,4.7,145000,типтроник,слева,полный привод,Да,газ-бензин,Toyota,Land Cruiser,14000000
Алматы,2001,седан,3.0,216000,автомат,справа,передний привод,Да,бензин,Toyota,Windom,4500000
Шымкент,2004,седан,3.0,250000,автомат,справа,задний привод,Нет,бензин,Toyota,Aristo,2500000
Алматы,1994,седан,2.0,312410,механика,слева,задний привод,Да,бензин,BMW,520,1850000
Нур-Султан (Астана),2014,седан,2.5,105000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,9600000
Алматы,2017,седан,2.0,82000,автомат,слева,передний привод,Да,бензин,Hyundai,Sonata,8500000
Атырау,2015,пикап,2.5,150000,механика,слева,полный привод,Да,дизель,Toyota,Hilux,10300000
Нур-Султан (Астана),2018,седан,2.5,18000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,12500000
Алматы,2014,седан,1.6,67000,типтроник,слева,передний привод,Да,бензин,Kia,Rio,5300000
Алматы,2014,кроссовер,2.0,86000,автомат,слева,полный привод,Да,бензин,Kia,Sportage,7550000
Алматы,2001,внедорожник,5.0,437000,типтроник,слева,полный привод,Да,бензин,Mercedes-Benz,G 500,11000000
Нур-Султан (Астана),2005,хэтчбек,1.6,196268,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2114 (хэтчбек),750000
Алматы,1996,микроавтобус,2.8,361614,автомат,справа,полный привод,Да,дизель,Mitsubishi,Delica,3700000
Шымкент,2011,седан,1.8,131000,автомат,слева,передний привод,Да,газ-бензин,Opel,Astra,2800000
Уральск,1999,кроссовер,2.0,190000,механика,слева,полный привод,Нет,бензин,Honda,CR-V,2400000
Алматы,1998,седан,3.0,230000,автомат,слева,задний привод,Да,бензин,Lexus,GS 300,4000000
Караганда,1989,хэтчбек,2.0,505000,механика,слева,передний привод,Да,бензин,Mazda,626,1300000
Алматы,2005,кроссовер,2.4,216424,автомат,слева,полный привод,Да,бензин,Mitsubishi,Outlander,4000000
Кызылорда,2000,седан,1.5,7777777,механика,слева,передний привод,Да,бензин,Kia,Shuma,1000000
Павлодар,2014,кроссовер,2.0,89000,механика,слева,полный привод,Да,бензин,Renault,Duster,4300000
Нур-Султан (Астана),2015,седан,2.5,83500,автомат,слева,передний привод,Да,бензин,Toyota,Camry,10100000
Семей,2007,седан,1.6,75000,механика,слева,задний привод,Да,бензин,ВАЗ (Lada),2107,900000
Алматы,2001,седан,2.0,137000,механика,слева,полный привод,Да,бензин,Subaru,Impreza WRX STi,4100000
Актау,2005,кроссовер,2.7,235000,автомат,слева,полный привод,Да,газ-бензин,Kia,Sportage,4150000
Усть-Каменогорск,2018,кроссовер,3.0,8000,типтроник,слева,полный привод,Да,бензин,Chevrolet,Captiva,11000000
Нур-Султан (Астана),1998,седан,3.0,292000,автомат,слева,задний привод,Нет,бензин,Lexus,GS 300,2500000
Жезказган,1990,седан,2.6,77777,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,E 260,1555000
Нур-Султан (Астана),2002,хэтчбек,1.5,210000,автомат,справа,передний привод,Нет,бензин,Toyota,Corolla,2000000
Нур-Султан (Астана),2013,хэтчбек,1.6,100000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2114 (хэтчбек),2200000
Алматы,2020,кроссовер,2.0,12000,автомат,слева,полный привод,Да,бензин,Toyota,RAV 4,17300000
Атырау,2006,седан,3.5,132000,автомат,справа,полный привод,Нет,бензин,Toyota,Crown,2750000
Алматы,2006,седан,2.4,243000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,4700000
Актау,2019,кроссовер,2.5,13800,автомат,слева,полный привод,Да,бензин,Hyundai,Santa Fe,14500000
Нур-Султан (Астана),1997,хэтчбек,1.6,281000,механика,слева,передний привод,Да,бензин,Mitsubishi,Carisma,1700000
Нур-Султан (Астана),2013,кроссовер,3.0,114000,типтроник,слева,полный привод,Да,бензин,Chevrolet,Captiva,6400000
Караганда,2013,кроссовер,2.7,120880,автомат,слева,полный привод,Да,бензин,Toyota,Venza,11500000
Костанай,2011,седан,1.3,150000,механика,слева,передний привод,Нет,бензин,ЗАЗ,Chance,850000
Костанай,2011,кроссовер,3.5,73000,автомат,слева,полный привод,Да,бензин,Toyota,Highlander,12650000
Костанай,2008,пикап,2.5,333333,механика,слева,полный привод,Да,дизель,Mitsubishi,L200,3700000
Павлодар,2000,универсал,2.8,231000,автомат,слева,полный привод,Да,бензин,Audi,A6,2800000
Актобе,2007,минивэн,3.0,176000,автомат,справа,полный привод,Нет,газ-бензин,Toyota,Alphard,4500000
Алматы,2011,седан,1.8,127000,автомат,слева,передний привод,Да,бензин,Toyota,Corolla,4800000
Нур-Султан (Астана),2005,седан,1.5,124000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2115 (седан),780000
Алматы,2007,седан,5.5,111111,типтроник,слева,задний привод,Да,бензин,Mercedes-Benz,S 550,6200000
Нур-Султан (Астана),2019,седан,2.0,13785,автомат,слева,полный привод,Да,бензин,Mercedes-Benz,E 200,19900000
Уральск,2009,седан,2.4,233000,автомат,слева,передний привод,Нет,бензин,Toyota,Camry,4500000
Караганда,2013,кроссовер,3.5,95600,автомат,слева,полный привод,Да,газ-бензин,Toyota,Highlander,13900000
Абай (Абайский р-н),2007,фургон,2.4,273446,механика,слева,задний привод,Да,дизель,Ford,Transit,3200000
Нур-Султан (Астана),2013,седан,1.6,74000,автомат,слева,передний привод,Да,бензин,Kia,Rio,4350000
Нур-Султан (Астана),2013,седан,1.6,145000,автомат,слева,передний привод,Да,бензин,Kia,Cee’d,4750000
Шымкент,2013,хэтчбек,1.6,105000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2114 (хэтчбек),2000000
Алматы,2005,седан,1.5,150000,механика,слева,передний привод,Нет,бензин,Daewoo,Nexia,600000
Алматы,2006,седан,3.5,240000,вариатор,слева,передний привод,Да,бензин,Nissan,Teana,3400000
Шымкент,2018,седан,1.6,50000,вариатор,слева,передний привод,Да,бензин,Toyota,Corolla,8500000
Алматы,1998,седан,2.0,365800,автомат,справа,передний привод,Да,бензин,Subaru,Legacy,2080000
Есик,2001,минивэн,2.2,450000,механика,слева,передний привод,Да,газ-бензин,Z,Opelafira,1800000
Уральск,2010,седан,1.5,170000,механика,слева,передний привод,Нет,бензин,Daewoo,Nexia,1000000
Нур-Султан (Астана),1992,седан,1.8,138000,механика,слева,передний привод,Да,бензин,Volkswagen,Golf,750000
Алматы,1997,внедорожник,3.0,299999,автомат,справа,полный привод,Да,дизель,Toyota,Land Cruiser Prado,4500000
Кызылорда,2007,внедорожник,4.0,19000,автомат,слева,полный привод,Да,газ-бензин,Toyota,Land Cruiser Prado,9800000
Караганда,2010,хэтчбек,1.0,134000,автомат,слева,передний привод,Да,бензин,Chevrolet,Spark,2900000
Нур-Султан (Астана),2008,седан,1.6,167000,механика,слева,передний привод,Нет,газ-бензин,Daewoo,Nexia,1100000
Нур-Султан (Астана),2014,седан,1.4,130000,автомат,слева,передний привод,Да,бензин,Kia,Rio,4200000
Костанай,1995,седан,3.2,315000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,S 320,2650000
Шымкент,2014,седан,1.6,109000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2190 (седан),2100000
Алматы,2012,седан,2.5,267,автомат,слева,передний привод,Нет,бензин,Toyota,Camry,6500000
